Lat Long Out
0.43232778222177093 0.695145412431582 0
0.6487987836165344 0.8845523027748298 0
0.8526649319081048 0.5548979863677646 1
0.732415208674642 0.6693963611912467 1
0.27653275181975034 0.3543241547220093 1
0.953264844006358 0.006029813633316393 0
0.5096743579314134 0.18398240222682274 1
0.48584565761349197 0.4176067151620329 1
0.9553709936012554 0.6915480399996222 1
0.7237739814467828 0.37013766980328466 1
0.15941531483653848 0.7089694682738453 0
0.48326356672422294 0.8445910375960239 0
0.03411120774670506 0.09674448291891326 0
0.7645608616328411 0.19722109112520314 1
0.5871797684340395 0.4155432346439418 1
0.4973423591855047 0.8028246103355235 0
0.06599817798187416 0.051231059329588984 0
0.4246589850391148 0.9376311268245704 0
0.8417027348710798 0.9354113598227165 0
0.2635567523677613 0.3253631391522381 1
0.8346539406192142 0.6443335361644763 1
0.49218957562801835 0.8891966238450268 0
0.06227043281212635 0.5969366129559186 0
0.08575880053694103 0.24451260273581724 0
0.09086043098224188 0.3161695009274865 1
0.38365222067134985 0.1864600844688943 1
0.890645904759468 0.1806695405566142 1
0.32625159919833935 0.6534438249558565 0
0.3606545942456282 0.6343815159333472 0
0.34457056393827945 0.8991549899554133 0
0.07104320342683357 0.7442205437051607 0
0.09399036636055567 0.4485805780037191 0
0.17791694611039516 0.18132447942270105 0
0.8827420720287559 0.3461920760179565 1
0.6541635516327836 0.7618947856789704 0
0.3645451233051055 0.9447854182545927 0
0.10279157617297448 0.642210432577719 0
0.966199522437688 0.030417150071657642 1
0.7235466921543293 0.3450495598935247 1
0.734697148896104 0.20368251245741123 1
0.7184096899720421 0.8098732230620382 0
0.31257827537761973 0.4443718309883172 1
0.09465473271612326 0.6968527646873167 0
0.44597194372982135 0.43783573600461234 1
0.10981097433697244 0.013105416503997946 0
0.7873492390318461 0.705265813405322 1
0.2914071811066809 0.7114748565845642 0
0.6581789593682306 0.41744994756182513 1
0.35283645707762723 0.04343437795663713 0
0.7471332617716793 0.7536783038030647 1
0.2594407301057958 0.7130230750480447 0
0.7344207958684634 0.36045348726018406 1
0.08519777409292278 0.06363158414517164 0
0.9946333998891572 0.08330560382735466 1
0.3468534058791062 0.8819081883673842 0
0.9716280173484871 0.7061694918059468 1
0.3454882512169667 0.21236247180513074 1
0.5257194088583789 0.09838224742903935 0
0.8955984019613635 0.647648396965132 1
0.6594694152916686 0.010124615461750686 0
0.7976680269431525 0.08375794259096736 1
0.18372161544540977 0.16884973407655524 0
0.7462867631986239 0.9090172268879515 0
0.0288357984994457 0.9295160889633018 0
0.44990314999295866 0.3397902270407729 1
0.11461202556540388 0.9732023832522941 0
0.3110752595549776 0.5335778726252892 0
0.7355215412017676 0.7174495356254109 1
0.5656594774029342 0.3530258009679827 1
0.0229276175653574 0.981275741080091 0
0.6334662765157009 0.06576877753742834 0
0.5755599703613402 0.09894790881081432 0
0.09885833411893434 0.3254877465628935 1
0.900802906601771 0.9678575612308896 0
0.480317087923122 0.99740539741346 0
0.48311639999711614 0.46824249309418975 1
0.5147955973026024 0.16033473818529956 1
0.19922289620915823 0.17077392391096827 0
0.4377447147888342 0.6691996818594443 0
0.15598687020714072 0.7026459348493974 0
0.32680873360689655 0.8934417908246136 0
0.1291014634930841 0.29348115942114283 1
0.7813476187113668 0.7388618323505771 1
0.5285376372955154 0.2313872835237162 1
0.4898419464584107 0.9091726627498725 0
0.7202802392715763 0.4296391335820425 1
0.7525668474582801 0.26421285072320877 1
0.9769341580468609 0.5867671203118189 1
0.07951722315084417 0.629272727999134 0
0.4921411498013799 0.3147343865138146 1
0.2269483759463317 0.07628149993322923 0
0.8848027924566975 0.2977791529148035 1
0.8216026733839807 0.2627595763120474 1
0.8257787420667536 0.6456424114507989 1
0.5233894515574116 0.33385383257275286 1
0.5000698422105905 0.19192636159451482 1
0.8726213251762265 0.13656822615825245 1
0.08821981510527498 0.3418283959864395 0
0.5386558688339211 0.9582480200138327 0
0.10677546852491449 0.3353572451868316 1
0.745727149911521 0.49821543486453435 1
0.5578183337825304 0.6109343608127378 1
0.05327215881461342 0.519955408748169 0
0.6948838739038922 0.21872098929510034 1
0.18480206098879604 0.7068790105167082 0
0.34263887911834745 0.7696359666131966 0
0.0030678103447195184 0.0009554529615088365 0
0.5146035391662759 0.5373887160204983 1
0.9969706130713809 0.06627263713820392 1
0.6792563522394918 0.09943038491915741 1
0.6200182727222636 0.3004984080417324 1
0.2677740419713226 0.8386322668724618 0
0.4782639221342282 0.984487389014879 0
0.20376808373544092 0.40207014074729047 1
0.7184468737495664 0.5329711097537234 1
0.21239701637500527 0.01025613696486592 0
0.7402515017405429 0.9727396438653958 0
0.02701686493425691 0.4232198112676663 0
0.3737550736646272 0.7912308340884955 0
0.7358075751285489 0.42327328795863783 1
0.12587340807326386 0.39524087481640185 0
0.9529840736543875 0.5763399104850547 1
0.3588105951260463 0.28534909615649984 1
0.9449330721199752 0.7785813514196032 1
0.8562717722633284 0.16257130566488964 1
0.3798344306861696 0.5882256266994206 0
